Reporting country,Reference period,Item,Business type,Item code,Value,Date of extraction (yyyymmdd),"Number of submissions (per reporting country, reference date and undertaking type)"
AUSTRIA,2017 Q2,Gross - Proportional reinsurance accepted,Non-Life,R0420,0.025382,20260416,38
AUSTRIA,2017 Q2,Gross - Non-proportional reinsurance accepted,Non-Life,R0430,0.0,20260416,38
AUSTRIA,2017 Q2,Reinsurers' share,Non-Life,R0440,0.154271,20260416,38
AUSTRIA,2017 Q2,Net,Non-Life,R0500,5.20085,20260416,38
AUSTRIA,2017 Q2,Expenses incurred,Non-Life,R0550,876.898718,20260416,38
AUSTRIA,2017 Q2,Other expenses,Non-Life,R1200,417.679745,20260416,38
AUSTRIA,2017 Q2,Balance - other technical expenses/income,Non-Life,R1210,,20260416,38
AUSTRIA,2017 Q2,Total technical expenses,Non-Life,R1300,1294.578463,20260416,38
AUSTRIA,2017 Q2,Premiums written,Life,R1401,,20260416,38
AUSTRIA,2017 Q2,Premiums earned,Life,R1501,,20260416,38
AUSTRIA,2017 Q2,Claims incurred,Life,R1601,,20260416,38
AUSTRIA,2017 Q2,Changes in other technical provisions,Life,R1701,,20260416,38
AUSTRIA,2017 Q2,Net Combined Ratio,Non-Life,Z0001,0.82,20260416,38
AUSTRIA,2017 Q2,Net Expense Ratio,Non-Life,Z0002,0.23,20260416,38
AUSTRIA,2017 Q3,Premiums written,Non-Life,R0101,,20260416,38
AUSTRIA,2017 Q3,Gross - Direct Business,Non-Life,R0110,7231.419865,20260416,38
AUSTRIA,2017 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0120,1250.401929,20260416,38
AUSTRIA,2017 Q3,Gross - Non-proportional reinsurance accepted,Non-Life,R0130,25.492976,20260416,38
AUSTRIA,2017 Q3,Reinsurers' share,Non-Life,R0140,2552.770644,20260416,38
AUSTRIA,2017 Q3,Net,Non-Life,R0200,5954.544126,20260416,38
AUSTRIA,2017 Q3,Premiums earned,Non-Life,R0201,,20260416,38
AUSTRIA,2017 Q3,Gross - Direct Business,Non-Life,R0210,6873.904252,20260416,38
